,Compound Score,Date,Negative Sentiment,Neutral Sentiment,Order Position,Positive Sentiment,Source,Tweet
136,0.0,Sun Mar 11 13:28:03 +0000 2018,0.0,1.0,36,0.0,CNN,Sen. Elizabeth Warren: “I am not running for president in 2020” https://t.co/0dy8gxtdRw https://t.co/M99yjYnqvR
137,-0.2475,Sun Mar 11 13:22:14 +0000 2018,0.127,0.745,37,0.128,CNN,"Sen. Elizabeth Warren: ""I want the President to succeed … but I am very worried he is going to go into these negoti… https://t.co/Q3DQPYof0Y"
138,0.5095,Sun Mar 11 13:20:57 +0000 2018,0.0,0.845,38,0.155,CNN,"Sen. Elizabeth Warren: ""I am very glad to see this administration move toward a diplomatic approach to North Korea”… https://t.co/bFt8iWwzKq"
139,0.2716,Sun Mar 11 13:14:35 +0000 2018,0.0,0.896,39,0.104,CNN,"GOP Sen. Ron Johnson of Wisconsin: “It’s just incredibly important to, I would say, ratchet up the sanctions agains… https://t.co/9tuearvy9f"
140,0.0,Sun Mar 11 13:01:02 +0000 2018,0.0,1.0,40,0.0,CNN,This photographer snaps cancer-stricken kids as superheroes https://t.co/bRrWqqIk7r https://t.co/5MFEqEFbMw
141,0.0,Sun Mar 11 12:31:03 +0000 2018,0.0,1.0,41,0.0,CNN,"Barbie unveiled dolls based on real-life figures including Amelia Earhart, Frida Kahlo, Katherine Johnson and Chloe… https://t.co/Ss8N6WEbY4"
142,0.2187,Sun Mar 11 12:01:04 +0000 2018,0.095,0.774,42,0.13,CNN,"66% of Millennials have nothing saved for retirement, a new report shows. Of those who do save, most have less than… https://t.co/3MB6jMLDON"
143,0.7003,Sun Mar 11 11:31:07 +0000 2018,0.0,0.674,43,0.326,CNN,"Inspired by her travels, this artist paints stunning pictures on tea bags https://t.co/O8piOHSRFL https://t.co/HZSii2dacL"
144,0.0,Sun Mar 11 11:01:05 +0000 2018,0.0,1.0,44,0.0,CNN,"Local law says that ""every head of household residing in the city limits is required to maintain a firearm"" in Kenn… https://t.co/2R3nT6dWU7"
145,0.0,Sun Mar 11 10:31:02 +0000 2018,0.0,1.0,45,0.0,CNN,"""They could divorce. They could own property. They had many rights that women in subsequent civilizations didn't ha… https://t.co/5897yT64XL"
146,-0.0762,Sun Mar 11 10:01:02 +0000 2018,0.075,0.925,46,0.0,CNN,"These high-performance cars, which are priced in the millions, can't be legally driven on public roads… https://t.co/xF15GOjWIb"
147,-0.4588,Sun Mar 11 09:31:04 +0000 2018,0.211,0.789,47,0.0,CNN,"""Dumpster fire"" is in the Merriam-Webster dictionary now, defined as ""an utterly calamitous or mismanaged situation… https://t.co/oMS9hLU8Lx"
148,0.0,Sun Mar 11 09:01:05 +0000 2018,0.0,1.0,48,0.0,CNN,"Child marriage is declining, a new UNICEF report says - but 12 million girls are still married in childhood every y… https://t.co/DAUZ1yVebf"
149,-0.5994,Sun Mar 11 08:31:04 +0000 2018,0.163,0.837,49,0.0,CNN,"Scientists unravel the mystery of the Roman ""gate to hell,"" which was thought to belch a ""breath of death"" that cau… https://t.co/WJbHlsGepb"
150,0.34,Sun Mar 11 08:30:48 +0000 2018,0.0,0.854,50,0.146,CNN,"China's largely ceremonial parliament endorses a constitutional amendment, paving the way for President Xi Jinping… https://t.co/RCTC01CJUz"
151,0.3818,Sun Mar 11 08:15:05 +0000 2018,0.0,0.898,51,0.102,CNN,"Find out who and what is making big waves in the worlds of tech, media and innovation. Sign up for PACIFIC, CNN’s n… https://t.co/V8Ln7DhjHo"
152,0.0,Sun Mar 11 08:01:03 +0000 2018,0.0,1.0,52,0.0,CNN,Facebook robots may one day follow you around at home https://t.co/urKEOzSzgF https://t.co/t1dARIPBBS
153,-0.4767,Sun Mar 11 07:31:03 +0000 2018,0.171,0.829,53,0.0,CNN,"Fake news travels at a markedly faster rate on Twitter than accurate information, a new study finds… https://t.co/kpbDwphXbN"
154,0.0,Sun Mar 11 07:01:03 +0000 2018,0.0,1.0,54,0.0,CNN,Uber says it has started using self-driving trucks to haul freight in Arizona https://t.co/r5bQPtepzj https://t.co/Fdxg8DUHHI
155,0.0,Sun Mar 11 06:59:06 +0000 2018,0.0,1.0,55,0.0,CNN,Former White House press secretary Jay Carney says the role he once held has become unrecognizable under President… https://t.co/K3qLcWnL4R
156,0.0,Sun Mar 11 06:30:08 +0000 2018,0.0,1.0,56,0.0,CNN,"""Black Panther"" to cross $1 billion worldwide in less than a month https://t.co/wJzaL36egw https://t.co/4uiuQSt2CG"
